Athlete,Date,Duration_min,sRPE,Readiness_Score
Rahul,2026-08-01,60,5,95
Rahul,2026-08-02,65,6,94
Rahul,2026-08-03,55,5,96
Rahul,2026-08-04,70,6,93
Rahul,2026-08-05,65,7,92
Rahul,2026-08-06,60,6,94
Rahul,2026-08-07,70,7,91
Rahul,2026-08-08,75,7,90
Rahul,2026-08-09,70,8,89
Rahul,2026-08-10,80,9,70
Arjun,2026-08-01,70,6,91
Arjun,2026-08-02,75,6,90
Arjun,2026-08-03,65,7,89
Arjun,2026-08-04,70,6,91
Arjun,2026-08-05,75,7,88
Arjun,2026-08-06,80,7,87
Arjun,2026-08-07,75,8,86
Arjun,2026-08-08,80,8,85
Arjun,2026-08-09,85,8,84
Arjun,2026-08-10,90,9,82
Vikram,2026-08-01,50,4,98
Vikram,2026-08-02,55,5,97
Vikram,2026-08-03,60,4,98
Vikram,2026-08-04,55,5,96
Vikram,2026-08-05,60,5,97
Vikram,2026-08-06,65,6,95
Vikram,2026-08-07,60,5,96
Vikram,2026-08-08,65,6,94
Vikram,2026-08-09,70,6,95
Vikram,2026-08-10,65,6,94
Priya,2026-08-01,55,5,95
Priya,2026-08-02,60,5,94
Priya,2026-08-03,55,4,96
Priya,2026-08-04,65,6,93
Priya,2026-08-05,60,5,94
Priya,2026-08-06,70,6,92
Priya,2026-08-07,65,6,91
Priya,2026-08-08,70,7,90
Priya,2026-08-09,75,7,89
Priya,2026-08-10,75,7,88
